YDR425W	XP_962863.3	26.145	524	345	8	122	623	112	615	6.37e-52	188
YDR425W	XP_003663337.1	32.869	359	212	6	122	472	97	434	5.97e-50	182
YJL036W	XP_003658349.1	34.038	426	234	6	28	418	56	469	1.98e-86	271
YJL036W	XP_965318.1	33.333	423	238	6	28	418	69	479	8.40e-81	256
YJL036W	XP_011393870.1	23.810	252	146	8	75	299	444	676	1.22e-08	56.6
YJL036W	XP_011393872.1	23.810	252	146	8	75	299	232	464	1.23e-08	56.6
YJL036W	XP_011393871.1	23.810	252	146	8	75	299	232	464	1.23e-08	56.6
YJL036W	XP_003662482.1	25.726	241	156	7	75	301	395	626	5.24e-08	54.7
YJL036W	XP_961293.2	21.393	402	262	12	28	417	177	536	2.32e-07	52.4
YJL036W	XP_003661980.1	21.303	399	266	11	28	417	200	559	2.49e-07	52.4
YEL013W	XP_956747.2	64.122	524	186	1	1	522	1	524	0.0	674
YEL013W	XP_003661591.1	62.595	524	194	1	1	522	1	524	0.0	646
YEL013W	XP_003661324.1	23.936	376	271	10	49	410	83	457	3.12e-12	68.6
YEL013W	XP_003661324.1	24.925	333	227	10	128	446	83	406	6.67e-12	67.8
YEL013W	XP_960652.1	24.925	333	227	10	128	446	83	406	4.95e-11	64.7
YEL013W	XP_960652.1	25.857	321	185	11	47	356	124	402	6.94e-08	54.7
YKR068C	XP_011395201.1	57.065	184	76	2	13	193	10	193	9.11e-77	228
YKR068C	XP_003664654.1	53.807	197	83	4	1	193	1	193	5.43e-73	218
YKR068C	XP_011395202.1	57.246	138	56	2	59	193	1	138	2.60e-54	169
YDR246W	XP_001728397.2	31.132	212	84	7	1	211	1	151	2.57e-25	96.7
YOR115C	XP_003662693.1	39.344	122	68	2	112	233	83	198	1.85e-26	102
YOR115C	XP_962928.3	37.705	122	69	3	112	233	125	239	4.78e-26	102
YML077W	XP_003663300.1	40.000	125	70	2	1	122	1	123	7.48e-25	92.8
YML077W	XP_011393879.1	29.534	193	91	4	1	159	1	182	8.95e-20	80.9
YML077W	XP_011393880.1	32.278	158	71	3	1	124	1	156	2.48e-19	79.7
YDR108W	XP_003665789.1	22.590	664	388	23	29	654	148	723	1.63e-22	102
